id,edad,nivel_edu,ingreso_mensual,sexo,anios_esc
197,26,Secundaria completa,6450,Hombre,9
198,21,Secundaria completa,5160,Hombre,9
199,34,Secundaria completa,8600,Hombre,9
200,61,Prrimaria completa,5000,Mujer,6
201,27,Medio superior y superior,21500,Mujer,17
202,51,Prrimaria completa,2580,Mujer,6
203,27,Secundaria completa,6880,Hombre,9
204,33,Prrimaria completa,6880,Hombre,6
205,21,Prrimaria completa,8600,Hombre,6
206,44,Prrimaria completa,7310,Hombre,6
207,24,Secundaria completa,3870,Hombre,9
208,62,Secundaria completa,8600,Hombre,9
209,43,Secundaria completa,8600,Hombre,9
210,74,Secundaria completa,4730,Hombre,9
211,50,Secundaria completa,6450,Mujer,9
212,35,Secundaria completa,3870,Mujer,9
213,14,Prrimaria completa,1290,Mujer,7
214,41,Medio superior y superior,16000,Hombre,17
215,73,Medio superior y superior,14000,Hombre,19
216,36,Secundaria completa,2580,Mujer,9
217,46,Medio superior y superior,9800,Mujer,12
218,37,Medio superior y superior,6000,Hombre,16
219,60,Primaria incompleta,2322,Hombre,5
220,33,Secundaria completa,2500,Hombre,9
221,34,Secundaria completa,6020,Mujer,9
222,47,Secundaria completa,2100,Hombre,9
223,23,Medio superior y superior,10750,Hombre,16
224,32,Medio superior y superior,5160,Mujer,12
225,62,Prrimaria completa,8600,Hombre,6
226,51,Medio superior y superior,14000,Hombre,16
227,43,Medio superior y superior,3870,Mujer,12
228,36,Secundaria completa,5160,Hombre,9
229,48,Secundaria completa,6450,Hombre,9
230,17,Secundaria completa,1290,Mujer,11
231,50,Prrimaria completa,11400,Hombre,6
232,20,Prrimaria completa,7740,Hombre,6
233,47,Primaria incompleta,5160,Hombre,4
234,64,Primaria incompleta,6020,Hombre,3
235,40,Secundaria completa,7740,Mujer,9
236,28,Secundaria completa,4300,Hombre,9
237,19,Medio superior y superior,2580,Hombre,12
238,61,Medio superior y superior,16000,Hombre,18
239,24,Secundaria completa,7740,Hombre,9
240,18,Secundaria completa,2580,Mujer,9
241,32,Medio superior y superior,17200,Hombre,12
242,26,Secundaria completa,7310,Hombre,10
243,43,Primaria incompleta,6000,Hombre,5
244,42,Medio superior y superior,9000,Mujer,17
245,18,Secundaria completa,5200,Hombre,10
246,30,Secundaria completa,7310,Mujer,9
247,32,Secundaria completa,3000,Hombre,9
248,27,Secundaria completa,6000,Mujer,9
249,29,Medio superior y superior,3010,Hombre,13
250,22,Secundaria completa,7740,Hombre,9
251,20,Secundaria completa,3870,Mujer,9
252,18,Secundaria completa,2150,Hombre,9
253,32,Prrimaria completa,5160,Mujer,6
254,44,Secundaria completa,7800,Hombre,9
255,40,Secundaria completa,4300,Mujer,9
256,87,Primaria incompleta,1935,Mujer,0
257,27,Medio superior y superior,10000,Hombre,12
258,51,Primaria incompleta,1720,Mujer,0
259,53,Secundaria completa,4300,Hombre,9
260,39,Secundaria completa,15000,Hombre,9
261,34,Prrimaria completa,4730,Hombre,8
262,51,Secundaria completa,5160,Hombre,9
263,54,Secundaria completa,7740,Mujer,9
264,49,Primaria incompleta,5160,Hombre,3
265,50,Medio superior y superior,18000,Hombre,17
266,39,Medio superior y superior,12600,Hombre,16
267,50,Prrimaria completa,6450,Hombre,6
268,25,Medio superior y superior,2150,Hombre,12
269,43,Secundaria completa,3655,Mujer,12
270,24,Medio superior y superior,4300,Hombre,12
271,42,Prrimaria completa,8600,Hombre,6
272,31,Secundaria completa,8600,Hombre,9
273,31,Medio superior y superior,8600,Hombre,15
274,33,Medio superior y superior,12000,Hombre,17
275,43,Secundaria completa,12900,Hombre,9
276,39,Medio superior y superior,15000,Mujer,16
277,39,Secundaria completa,3000,Mujer,9
278,66,Medio superior y superior,35000,Hombre,17
279,25,Medio superior y superior,3096,Hombre,12
280,45,Secundaria completa,17000,Hombre,9
281,32,Secundaria completa,3440,Hombre,11
282,30,Secundaria completa,5160,Mujer,9
283,43,Medio superior y superior,6000,Mujer,16
284,30,Secundaria completa,3010,Hombre,9
285,26,Secundaria completa,6020,Hombre,9
286,35,Secundaria completa,8170,Hombre,11
287,37,Prrimaria completa,7000,Hombre,6
288,29,Medio superior y superior,8000,Hombre,17
289,27,Secundaria completa,4300,Hombre,9
290,53,Prrimaria completa,1000,Mujer,6
291,46,Medio superior y superior,12000,Hombre,12
292,68,Primaria incompleta,6450,Hombre,4
293,48,Medio superior y superior,5160,Hombre,16
294,39,Secundaria completa,3870,Mujer,9
295,35,Secundaria completa,3870,Hombre,9
296,36,Medio superior y superior,6400,Mujer,16
297,39,Medio superior y superior,10000,Hombre,17
298,36,Secundaria completa,15000,Hombre,9
299,49,Secundaria completa,6000,Mujer,9
300,54,Medio superior y superior,18000,Mujer,12
301,26,Medio superior y superior,2580,Mujer,12
302,28,Medio superior y superior,5000,Mujer,13
303,26,Secundaria completa,5590,Mujer,9
304,23,Prrimaria completa,3870,Mujer,6
305,44,Prrimaria completa,3000,Mujer,6
306,41,Secundaria completa,6450,Hombre,9
307,42,Medio superior y superior,13400,Mujer,17
308,43,Medio superior y superior,14000,Hombre,16
309,29,Secundaria completa,4300,Mujer,11
310,49,Prrimaria completa,15050,Hombre,8
311,38,Medio superior y superior,5160,Hombre,15
312,39,Secundaria completa,7740,Hombre,9
313,41,Secundaria completa,7740,Hombre,9
314,28,Medio superior y superior,19350,Hombre,17
315,27,Secundaria completa,8600,Mujer,9
316,48,Prrimaria completa,4730,Hombre,6
317,26,Medio superior y superior,3870,Mujer,12
318,58,Medio superior y superior,7740,Hombre,12
319,52,Primaria incompleta,2150,Hombre,3
320,46,Medio superior y superior,30000,Hombre,17
321,26,Prrimaria completa,8600,Hombre,6
322,32,Medio superior y superior,3000,Mujer,16
323,44,Secundaria completa,16340,Hombre,9
324,28,Medio superior y superior,8000,Hombre,12
325,20,Primaria incompleta,4730,Mujer,0
326,37,Medio superior y superior,12900,Hombre,12
327,57,Medio superior y superior,12040,Hombre,12
328,26,Medio superior y superior,8000,Hombre,16
329,49,Secundaria completa,6450,Mujer,9
330,49,Prrimaria completa,7740,Hombre,6
331,42,Secundaria completa,7525,Mujer,10
332,23,Secundaria completa,9000,Hombre,9
333,45,Secundaria completa,10000,Hombre,11
334,43,Medio superior y superior,7740,Hombre,12
335,51,Secundaria completa,2920,Hombre,9
336,42,Secundaria completa,4000,Hombre,9
337,51,Prrimaria completa,6450,Mujer,6
338,52,Medio superior y superior,12400,Hombre,16
339,24,Medio superior y superior,12600,Hombre,17
340,37,Secundaria completa,1505,Hombre,9
341,30,Medio superior y superior,2150,Mujer,12
342,43,Secundaria completa,3890,Hombre,9
343,16,Prrimaria completa,1290,Mujer,8
344,46,Secundaria completa,2150,Mujer,9
345,45,Secundaria completa,8000,Mujer,9
346,56,Medio superior y superior,6450,Hombre,12
347,20,Secundaria completa,3870,Hombre,9
348,33,Secundaria completa,2064,Hombre,9
349,55,Secundaria completa,8000,Hombre,9
350,15,Prrimaria completa,3870,Hombre,6
351,25,Medio superior y superior,8600,Hombre,16
352,40,Prrimaria completa,6450,Hombre,8
353,69,Prrimaria completa,10833,Hombre,6
354,69,Prrimaria completa,1720,Hombre,6
355,54,Prrimaria completa,8600,Mujer,6
356,21,Medio superior y superior,10750,Hombre,12
357,48,Prrimaria completa,5590,Mujer,6
358,33,Secundaria completa,7740,Hombre,9
359,42,Secundaria completa,1000,Mujer,9
360,52,Medio superior y superior,4300,Hombre,16
361,28,Secundaria completa,6450,Hombre,9
362,36,Secundaria completa,17200,Hombre,9
363,61,Primaria incompleta,1075,Hombre,0
364,24,Secundaria completa,6450,Hombre,9
365,71,Primaria incompleta,4300,Hombre,5
366,30,Secundaria completa,6880,Mujer,9
367,54,Medio superior y superior,60000,Hombre,18
368,37,Medio superior y superior,17200,Hombre,12
369,60,Medio superior y superior,10000,Hombre,16
370,39,Secundaria completa,10320,Hombre,9
371,49,Secundaria completa,14000,Hombre,11
372,41,Secundaria completa,7740,Hombre,9
373,18,Prrimaria completa,2150,Hombre,6
374,34,Secundaria completa,8600,Hombre,9
375,24,Secundaria completa,15050,Hombre,9
376,18,Secundaria completa,3870,Hombre,9
377,54,Prrimaria completa,1290,Mujer,6
378,53,Secundaria completa,4730,Mujer,9
379,45,Secundaria completa,5160,Hombre,9
380,81,Primaria incompleta,5160,Hombre,2
381,42,Medio superior y superior,16000,Mujer,12
382,40,Prrimaria completa,4730,Mujer,6
383,48,Secundaria completa,4300,Mujer,9
384,70,Primaria incompleta,6880,Hombre,2
385,52,Primaria incompleta,6450,Hombre,3
386,34,Secundaria completa,8600,Hombre,9
387,45,Medio superior y superior,10000,Hombre,16
388,20,Prrimaria completa,6450,Hombre,8
389,24,Prrimaria completa,8600,Hombre,6
390,50,Medio superior y superior,11500,Mujer,17
391,51,Secundaria completa,6000,Hombre,9
392,35,Medio superior y superior,5160,Mujer,12
393,21,Prrimaria completa,3440,Mujer,6
394,36,Medio superior y superior,13000,Mujer,16
395,21,Secundaria completa,5160,Hombre,10
396,56,Secundaria completa,5160,Mujer,9
397,59,Primaria incompleta,7740,Hombre,2
398,23,Medio superior y superior,5590,Mujer,16
399,35,Secundaria completa,10750,Hombre,9
400,31,Medio superior y superior,9000,Hombre,16
401,55,Medio superior y superior,17200,Mujer,17
402,44,Medio superior y superior,15000,Mujer,16
403,56,Medio superior y superior,7740,Mujer,12
404,47,Prrimaria completa,6450,Hombre,6
405,33,Medio superior y superior,12000,Mujer,17
406,31,Prrimaria completa,7740,Hombre,7
407,37,Secundaria completa,5160,Mujer,9
408,23,Medio superior y superior,3870,Mujer,14
409,42,Medio superior y superior,56000,Hombre,16
410,33,Secundaria completa,4300,Hombre,9
411,63,Prrimaria completa,7740,Hombre,6
412,50,Primaria incompleta,4300,Hombre,0
413,39,Medio superior y superior,10750,Hombre,17
414,44,Secundaria completa,3870,Hombre,9
415,20,Secundaria completa,4300,Hombre,9
416,41,Secundaria completa,3440,Hombre,9
417,18,Secundaria completa,4300,Hombre,10
418,26,Medio superior y superior,6450,Hombre,12
419,26,Medio superior y superior,14000,Hombre,17
420,42,Medio superior y superior,12000,Hombre,18
421,63,Primaria incompleta,4800,Hombre,3
422,13,Prrimaria completa,2580,Hombre,6
423,56,Primaria incompleta,2580,Mujer,0
424,59,Prrimaria completa,2000,Mujer,6
425,33,Medio superior y superior,2150,Mujer,12
426,34,Prrimaria completa,6020,Mujer,6
427,98,Secundaria completa,6020,Mujer,9
428,56,Secundaria completa,17200,Hombre,9
429,66,Primaria incompleta,2580,Hombre,0
430,26,Medio superior y superior,6000,Mujer,17
431,54,Prrimaria completa,5590,Mujer,6
432,75,Primaria incompleta,3870,Hombre,3
433,25,Medio superior y superior,2150,Mujer,16
434,52,Prrimaria completa,7740,Hombre,6
435,43,Medio superior y superior,28000,Hombre,15
436,45,Prrimaria completa,1290,Mujer,6
437,37,Prrimaria completa,12900,Hombre,6
438,44,Medio superior y superior,12900,Hombre,17
439,24,Medio superior y superior,17200,Hombre,17
440,48,Secundaria completa,2580,Mujer,9
441,20,Prrimaria completa,6568,Mujer,8
442,29,Medio superior y superior,10000,Mujer,16
443,24,Medio superior y superior,8600,Mujer,15
444,42,Secundaria completa,12000,Hombre,12
445,19,Prrimaria completa,2580,Hombre,8
446,33,Secundaria completa,3000,Mujer,10
447,34,Medio superior y superior,5000,Mujer,12
448,35,Secundaria completa,8170,Mujer,9
449,43,Secundaria completa,9675,Hombre,9
450,52,Prrimaria completa,3096,Hombre,6
451,18,Secundaria completa,5160,Hombre,9
452,69,Primaria incompleta,1720,Mujer,3
453,38,Secundaria completa,5160,Mujer,11
454,34,Primaria incompleta,3440,Mujer,0
455,37,Secundaria completa,2580,Mujer,9
456,39,Medio superior y superior,12000,Hombre,12
457,23,Medio superior y superior,16000,Hombre,16
458,17,Secundaria completa,1290,Mujer,11
459,36,Medio superior y superior,1000,Hombre,12
460,18,Secundaria completa,4300,Hombre,9
461,50,Medio superior y superior,12900,Hombre,12
462,35,Medio superior y superior,9600,Mujer,17
463,37,Secundaria completa,7740,Hombre,9
464,31,Medio superior y superior,1500,Mujer,16
465,48,Secundaria completa,7740,Hombre,9
466,33,Prrimaria completa,5160,Hombre,6
467,49,Prrimaria completa,6235,Mujer,6
468,57,Prrimaria completa,3010,Mujer,6
469,18,Medio superior y superior,13416,Hombre,12
470,53,Secundaria completa,6400,Hombre,9
471,32,Secundaria completa,5590,Hombre,9
472,46,Secundaria completa,8600,Hombre,9
473,34,Secundaria completa,8600,Hombre,9
474,70,Primaria incompleta,4300,Hombre,1
475,59,Medio superior y superior,15000,Hombre,16
476,54,Prrimaria completa,7998,Hombre,6
477,15,Prrimaria completa,2150,Hombre,6
478,31,Primaria incompleta,2064,Hombre,0
479,39,Secundaria completa,5590,Hombre,9
480,67,Prrimaria completa,6450,Hombre,6
481,22,Medio superior y superior,8600,Mujer,12
482,37,Secundaria completa,10750,Mujer,9
483,26,Medio superior y superior,15000,Mujer,16
484,24,Secundaria completa,1935,Mujer,9
485,60,Secundaria completa,4515,Mujer,9
486,20,Primaria incompleta,4500,Hombre,2
487,73,Primaria incompleta,2064,Mujer,5
488,35,Medio superior y superior,10000,Mujer,16
489,38,Medio superior y superior,9600,Mujer,12
490,39,Medio superior y superior,16000,Mujer,18
491,39,Secundaria completa,11550,Hombre,9
492,61,Secundaria completa,25000,Mujer,11
493,35,Medio superior y superior,2400,Mujer,12
494,38,Prrimaria completa,12900,Hombre,6
495,35,Secundaria completa,5160,Mujer,9
496,40,Prrimaria completa,5160,Hombre,6
497,31,Medio superior y superior,8000,Hombre,17
498,18,Prrimaria completa,2580,Mujer,6
499,59,Prrimaria completa,3440,Mujer,6
500,39,Secundaria completa,7310,Mujer,9
501,44,Medio superior y superior,10320,Mujer,12
502,45,Medio superior y superior,8000,Mujer,17
503,23,Secundaria completa,5160,Mujer,9
504,50,Secundaria completa,1075,Mujer,9
505,28,Secundaria completa,3870,Mujer,9
506,56,Primaria incompleta,2580,Mujer,5
507,34,Primaria incompleta,3600,Hombre,0
508,29,Medio superior y superior,20000,Hombre,17
509,37,Secundaria completa,6800,Hombre,9
510,32,Secundaria completa,10750,Hombre,9
511,54,Medio superior y superior,8000,Mujer,12
512,19,Secundaria completa,2580,Hombre,9
513,43,Medio superior y superior,8000,Hombre,12
514,16,Secundaria completa,4730,Hombre,10
515,53,Prrimaria completa,6450,Hombre,6
516,26,Secundaria completa,11180,Hombre,9
517,38,Secundaria completa,3440,Hombre,9
518,34,Medio superior y superior,8000,Mujer,17
519,25,Secundaria completa,3000,Mujer,9
520,51,Prrimaria completa,8600,Hombre,6
521,32,Medio superior y superior,3440,Mujer,12
522,44,Secundaria completa,3010,Hombre,9
523,51,Medio superior y superior,15000,Hombre,15
524,28,Secundaria completa,6450,Hombre,9
525,29,Secundaria completa,6000,Hombre,9
526,30,Medio superior y superior,20000,Hombre,15
527,27,Secundaria completa,5160,Hombre,9
528,28,Medio superior y superior,7000,Mujer,16
529,35,Secundaria completa,6020,Hombre,9
530,36,Primaria incompleta,8600,Hombre,4
531,45,Medio superior y superior,20000,Hombre,17
532,38,Prrimaria completa,8600,Mujer,7
533,17,Secundaria completa,1720,Hombre,9
534,66,Prrimaria completa,4000,Mujer,8
535,32,Medio superior y superior,2150,Mujer,12
536,79,Primaria incompleta,2150,Mujer,0
537,45,Secundaria completa,6450,Mujer,11
538,36,Medio superior y superior,6000,Hombre,17
539,40,Prrimaria completa,4300,Mujer,6
540,69,Primaria incompleta,4300,Hombre,2
541,26,Medio superior y superior,14000,Mujer,16
542,51,Secundaria completa,6450,Mujer,9
543,48,Secundaria completa,10320,Hombre,9
544,14,Prrimaria completa,1290,Hombre,7
545,60,Prrimaria completa,6450,Hombre,6
546,49,Secundaria completa,4300,Hombre,9
547,37,Secundaria completa,7740,Hombre,9
548,20,Medio superior y superior,8600,Mujer,12
549,24,Secundaria completa,6880,Mujer,10
550,47,Secundaria completa,8000,Mujer,12
551,39,Medio superior y superior,8400,Mujer,18
552,41,Prrimaria completa,2580,Hombre,6
553,37,Secundaria completa,8000,Mujer,9
554,44,Medio superior y superior,2580,Mujer,12
555,47,Medio superior y superior,14000,Hombre,19
556,55,Medio superior y superior,3225,Mujer,16
557,43,Primaria incompleta,6450,Hombre,4
558,50,Secundaria completa,12900,Hombre,9
559,25,Secundaria completa,4300,Mujer,9
560,49,Secundaria completa,4600,Hombre,9
561,40,Secundaria completa,5160,Mujer,9
562,30,Medio superior y superior,12000,Hombre,16
563,53,Prrimaria completa,8170,Hombre,6
564,24,Medio superior y superior,8000,Mujer,12
565,23,Secundaria completa,4300,Hombre,9
566,41,Prrimaria completa,3870,Hombre,6
567,35,Secundaria completa,4300,Mujer,9
568,36,Primaria incompleta,6880,Hombre,1
569,35,Medio superior y superior,14000,Hombre,17
570,50,Medio superior y superior,3870,Mujer,12
571,66,Primaria incompleta,1666,Hombre,1
572,59,Secundaria completa,17200,Hombre,9
573,27,Medio superior y superior,4300,Hombre,17
574,34,Prrimaria completa,5590,Hombre,8
575,46,Secundaria completa,13330,Hombre,9
576,18,Medio superior y superior,1290,Hombre,12
577,57,Medio superior y superior,6450,Mujer,17
578,37,Secundaria completa,6880,Hombre,9
579,53,Medio superior y superior,7740,Hombre,12
580,45,Prrimaria completa,12900,Hombre,6
581,48,Prrimaria completa,2333,Hombre,6
582,21,Secundaria completa,5805,Hombre,10
583,28,Medio superior y superior,16000,Mujer,17
584,31,Medio superior y superior,4300,Mujer,12
585,27,Medio superior y superior,4300,Hombre,17
586,40,Secundaria completa,10750,Hombre,9
587,65,Primaria incompleta,3870,Mujer,4
588,22,Prrimaria completa,3000,Mujer,6
589,56,Medio superior y superior,10750,Hombre,12
590,26,Medio superior y superior,4300,Hombre,12
591,61,Secundaria completa,5160,Hombre,9
592,24,Prrimaria completa,5160,Hombre,6
593,41,Medio superior y superior,15480,Hombre,12
594,66,Prrimaria completa,5000,Hombre,6
595,26,Medio superior y superior,15000,Mujer,17
596,26,Medio superior y superior,4730,Mujer,17
597,28,Secundaria completa,7000,Mujer,9
598,25,Prrimaria completa,3225,Mujer,6
599,44,Prrimaria completa,6020,Hombre,6
600,25,Secundaria completa,8170,Hombre,12
601,47,Secundaria completa,6450,Hombre,9
602,37,Medio superior y superior,5590,Mujer,12
603,50,Secundaria completa,8600,Hombre,12
604,59,Secundaria completa,5000,Hombre,9
605,43,Primaria incompleta,6450,Hombre,3
606,34,Secundaria completa,7740,Hombre,9
607,27,Medio superior y superior,10320,Mujer,17
608,58,Secundaria completa,12900,Hombre,9
609,26,Prrimaria completa,4300,Mujer,6
610,21,Secundaria completa,5160,Hombre,9
611,50,Secundaria completa,11900,Hombre,11
612,70,Prrimaria completa,2580,Hombre,6
613,54,Secundaria completa,5160,Mujer,12
614,36,Secundaria completa,6450,Hombre,11
615,44,Secundaria completa,3870,Mujer,9
616,21,Secundaria completa,6450,Hombre,10
